call_oi,call_change_oi,call_volume,call_iv,call_ltp,call_change,call_bid_qty,call_bid,call_ask,call_ask_qty,strike,put_bid_qty,put_bid,put_ask,put_ask_qty,put_change,put_ltp,put_iv,put_volume,put_change_oi,put_oi,expiry,expiry_valid,is_holiday,call_data_available,put_data_available,data_quality,spot_price,valuation_date,days_to_expiry,T
7375.0,203.0,6081.0,5.16,616.9,-115.9,65,616.15,620.0,65,23500.0,975,6.45,6.8,11700,0.05,6.45,11.84,460825.0,26812.0,129792.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
223.0,133.0,425.0,,564.5,-132.5,65,566.6,575.9,65,23550.0,130,7.4,7.7,65,0.35,7.7,11.45,235776.0,17833.0,26288.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
3927.0,235.0,4288.0,6.37,517.3,-117.5,455,520.1,522.95,65,23600.0,975,9.15,9.45,2600,0.8,9.35,11.09,390228.0,20936.0,73738.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
600.0,506.0,2034.0,8.09,469.95,-107.1,130,471.85,476.6,65,23650.0,910,11.35,11.8,1495,0.8,11.3,10.71,242908.0,12606.0,31215.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
4587.0,1784.0,13510.0,9.59,427.5,-107.1,325,426.3,430.0,65,23700.0,195,14.6,15.0,1170,1.95,14.95,10.55,599792.0,16916.0,126137.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
779.0,621.0,5859.0,9.18,379.95,-111.2,195,379.8,383.85,65,23750.0,1365,19.0,19.35,1170,3.2,19.35,10.35,388725.0,-1754.0,26188.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
12288.0,2708.0,69443.0,9.07,335.0,-109.15,130,335.75,337.0,130,23800.0,4810,24.7,25.05,975,4.2,24.7,10.11,777896.0,18122.0,82915.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
1557.0,1342.0,34522.0,9.14,293.0,-104.6,130,294.1,295.0,455,23850.0,65,32.1,32.6,845,6.8,32.55,10.01,451032.0,7189.0,25141.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
8383.0,4744.0,149103.0,9.35,254.75,-102.25,130,253.85,255.45,65,23900.0,6305,42.0,42.1,1170,9.4,42.0,9.86,897969.0,15966.0,58640.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
6796.0,5819.0,152121.0,9.28,216.85,-102.15,130,216.0,219.0,65,23950.0,455,54.4,54.7,1170,13.5,54.4,9.78,726534.0,14890.0,26549.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
127713.0,33381.0,1096678.0,9.18,181.25,-96.3,195,181.65,182.9,195,24000.0,3250,70.0,70.15,130,18.2,70.1,9.76,2509725.0,34745.0,210294.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
49500.0,47819.0,1265907.0,9.21,150.35,-89.7,455,150.35,150.7,195,24050.0,2405,88.0,88.25,715,23.9,88.25,9.68,2187213.0,33780.0,46397.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
151765.0,122034.0,2462931.0,9.25,123.1,-82.35,650,123.05,123.1,130,24100.0,715,110.6,111.1,195,31.4,111.1,9.73,2995866.0,49110.0,105284.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
51777.0,40220.0,1258905.0,9.39,100.35,-72.65,715,99.25,99.8,195,24150.0,195,136.1,136.6,520,39.2,136.65,9.73,1244374.0,10405.0,29591.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
170536.0,63984.0,1743779.0,9.28,78.15,-66.5,1105,78.45,78.7,195,24200.0,325,165.25,165.85,325,47.95,165.85,9.76,1190864.0,-6525.0,98013.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
58432.0,25647.0,695674.0,9.42,62.1,-56.15,1170,61.75,62.1,130,24250.0,195,198.05,198.95,130,55.2,197.2,9.71,304957.0,-6308.0,16154.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
178607.0,56034.0,1145333.0,9.45,47.7,-47.9,1235,47.65,48.25,130,24300.0,65,233.1,236.3,130,63.75,233.2,9.81,333857.0,-12339.0,74039.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
38775.0,15295.0,438394.0,9.57,36.9,-39.35,1170,36.95,37.6,65,24350.0,195,272.1,274.95,130,71.35,269.6,9.68,60202.0,-1614.0,9852.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
135246.0,32610.0,756388.0,9.74,28.65,-30.5,520,28.7,28.95,260,24400.0,65,314.05,316.0,130,82.1,314.55,10.26,105843.0,-5279.0,48351.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
39039.0,-19158.0,435554.0,9.93,22.3,-23.3,650,22.15,22.5,390,24450.0,65,355.6,361.0,130,91.05,361.5,10.97,14223.0,-589.0,6808.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
228681.0,42774.0,951238.0,10.2,17.75,-17.8,1300,17.6,17.75,2405,24500.0,130,402.6,404.55,325,97.0,404.25,11.0,62793.0,-7588.0,77567.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
52905.0,28220.0,318896.0,10.37,13.65,-13.3,1885,13.65,13.7,1105,24550.0,65,446.85,451.15,325,99.05,451.0,11.45,8070.0,-421.0,3677.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
108162.0,28345.0,477456.0,10.6,10.7,-9.9,325,10.7,11.0,1300,24600.0,260,496.0,499.35,65,107.0,499.0,12.03,14801.0,-1997.0,18251.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
36904.0,8247.0,266888.0,10.99,9.0,-6.8,1625,9.0,9.2,2535,24650.0,1690,543.75,547.35,65,106.2,546.45,12.43,2255.0,223.0,3051.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
108502.0,19948.0,520672.0,11.28,7.3,-5.05,585,7.05,7.4,260,24700.0,65,594.0,594.9,130,107.45,596.0,13.21,9824.0,-769.0,14950.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
32555.0,7082.0,271682.0,11.68,6.25,-3.35,325,6.05,6.3,455,24750.0,65,641.6,645.8,65,105.4,646.0,14.07,1612.0,96.0,1744.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
115522.0,21876.0,515108.0,12.04,5.3,-2.35,780,5.05,5.3,5655,24800.0,65,692.3,692.8,325,114.35,696.3,14.98,3886.0,-855.0,8766.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
25636.0,8703.0,280358.0,12.42,4.55,-1.85,1885,4.55,4.85,1170,24850.0,65,737.75,746.3,65,106.9,739.6,14.0,561.0,56.0,847.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
